TARGET, MODEL, PRED_DOCKQ, TRUE_DOCKQ
7R40,fold_7r40_1_model_0,0.71661174,0.68
7R40,fold_7r40_1_model_1,0.1264036,0.664
7R40,fold_7r40_1_model_2,0.48655155,0.671
7R40,fold_7r40_1_model_3,0.50416017,0.672
7R40,fold_7r40_1_model_4,0.51336753,0.666
7R40,fold_7r40_2_model_0,0.28003642,0.676
7R40,fold_7r40_2_model_1,0.6629097,0.678
7R40,fold_7r40_2_model_2,0.50926495,0.675
7R40,fold_7r40_2_model_3,0.33728147,0.43497222222222226
7R40,fold_7r40_2_model_4,0.595838,0.679
7R40,fold_7r40_3_model_0,0.16144584,0.43433333333333335
7R40,fold_7r40_3_model_1,0.6351863,0.67
7R40,fold_7r40_3_model_2,0.57212496,0.673
7R40,fold_7r40_3_model_3,0.69416773,0.43002777777777773
7R40,fold_7r40_3_model_4,0.7016795,0.4311388888888889
7R40,fold_7r40_4_model_0,0.12607004,0.678
7R40,fold_7r40_4_model_1,0.6190436,0.4316111111111111
7R40,fold_7r40_4_model_2,0.6671174,0.667
7R40,fold_7r40_4_model_3,0.7078398,0.671
7R40,fold_7r40_4_model_4,0.6964443,0.673
7R40,fold_7r40_5_model_0,0.44568935,0.639
7R40,fold_7r40_5_model_1,0.6942312,0.4255833333333333
7R40,fold_7r40_5_model_2,0.5435262,0.672
7R40,fold_7r40_5_model_3,0.24898353,0.671
7R40,fold_7r40_5_model_4,0.67319906,0.674
