MODEL,PRED_DOCKQ
fold_7r40_1_model_0,0.71661174
fold_7r40_4_model_3,0.7078398
fold_7r40_3_model_4,0.7016795
fold_7r40_4_model_4,0.6964443
fold_7r40_5_model_1,0.6942312
fold_7r40_3_model_3,0.69416773
fold_7r40_5_model_4,0.67319906
fold_7r40_4_model_2,0.6671174
fold_7r40_2_model_1,0.6629097
fold_7r40_3_model_1,0.6351863
fold_7r40_4_model_1,0.6190436
fold_7r40_2_model_4,0.595838
fold_7r40_3_model_2,0.57212496
fold_7r40_5_model_2,0.5435262
fold_7r40_1_model_4,0.51336753
fold_7r40_2_model_2,0.50926495
fold_7r40_1_model_3,0.50416017
fold_7r40_1_model_2,0.48655155
fold_7r40_5_model_0,0.44568935
fold_7r40_2_model_3,0.33728147
fold_7r40_2_model_0,0.28003642
fold_7r40_5_model_3,0.24898353
fold_7r40_3_model_0,0.16144584
fold_7r40_1_model_1,0.1264036
fold_7r40_4_model_0,0.12607004
