TARGET, MODEL, PRED_DOCKQ, TRUE_DOCKQ
7WRV,fold_7wrv_1_model_0,0.5741299,0.3856949152542373
7WRV,fold_7wrv_1_model_1,0.5377385,0.38954237288135596
7WRV,fold_7wrv_1_model_2,0.22999668,0.29588135593220344
7WRV,fold_7wrv_1_model_3,0.45899594,0.29157627118644064
7WRV,fold_7wrv_1_model_4,0.2856917,0.2728305084745763
7WRV,fold_7wrv_2_model_0,0.43894315,0.2785762711864407
7WRV,fold_7wrv_2_model_1,0.27496687,0.29566101694915253
7WRV,fold_7wrv_2_model_2,0.79223096,0.2845932203389831
7WRV,fold_7wrv_2_model_3,0.3876988,0.272677966101695
7WRV,fold_7wrv_2_model_4,0.5129963,0.28518644067796606
7WRV,fold_7wrv_3_model_0,0.53850186,0.41174576271186447
7WRV,fold_7wrv_3_model_1,0.31521782,0.473728813559322
7WRV,fold_7wrv_3_model_2,0.34279743,0.3046949152542373
7WRV,fold_7wrv_3_model_3,0.4781706,0.28128813559322036
7WRV,fold_7wrv_3_model_4,0.5600953,0.35481355932203396
7WRV,fold_7wrv_4_model_0,0.32956848,0.447271186440678
7WRV,fold_7wrv_4_model_1,0.20859988,0.4491525423728814
7WRV,fold_7wrv_4_model_2,0.6311126,0.42159322033898305
7WRV,fold_7wrv_4_model_3,0.23206432,0.4187796610169492
7WRV,fold_7wrv_4_model_4,0.6942561,0.4321694915254237
7WRV,fold_7wrv_5_model_0,0.15173562,0.4186271186440679
7WRV,fold_7wrv_5_model_1,0.23187806,0.48438983050847456
7WRV,fold_7wrv_5_model_2,0.13556275,0.4419661016949153
7WRV,fold_7wrv_5_model_3,0.38572973,0.4082203389830508
7WRV,fold_7wrv_5_model_4,0.3184885,0.4667118644067797
