MODEL,PRED_DOCKQ
fold_7z2m_2_model_4,0.7722327
fold_7z2m_4_model_0,0.73802227
fold_7z2m_4_model_3,0.73408014
fold_7z2m_3_model_0,0.7325048
fold_7z2m_5_model_0,0.72387743
fold_7z2m_3_model_3,0.7166595
fold_7z2m_2_model_1,0.7158606
fold_7z2m_2_model_3,0.70890826
fold_7z2m_5_model_3,0.70803505
fold_7z2m_1_model_4,0.694373
fold_7z2m_3_model_4,0.6913579
fold_7z2m_4_model_2,0.68982947
fold_7z2m_5_model_1,0.6886482
fold_7z2m_2_model_2,0.6790392
fold_7z2m_2_model_0,0.67634934
fold_7z2m_3_model_1,0.6737044
fold_7z2m_5_model_2,0.6693562
fold_7z2m_5_model_4,0.6686793
fold_7z2m_3_model_2,0.66084623
fold_7z2m_4_model_1,0.64746386
fold_7z2m_1_model_0,0.6351412
fold_7z2m_1_model_2,0.61942136
fold_7z2m_4_model_4,0.4471267
fold_7z2m_1_model_1,0.32213742
fold_7z2m_1_model_3,0.2727123
