TARGET, MODEL, PRED_DOCKQ, TRUE_DOCKQ
7ALA,custom_template_file_0,0.08172222,0.012
7ALA,custom_template_file_1,0.12816611,0.016
7ALA,custom_template_file_2,0.12998231,0.028
7ALA,custom_template_file_3,0.08281943,0.028
7ALA,custom_template_file_4,0.06569297,0.033
7ALA,custom_template_with_alphafold_models_0,0.024336342,0.014
7ALA,custom_template_with_alphafold_models_1,0.14898975,0.025
7ALA,custom_template_with_alphafold_models_2,0.05164298,0.021
7ALA,custom_template_with_alphafold_models_3,0.03814676,0.020
7ALA,custom_template_with_alphafold_models_4,0.029572012,0.013
7ALA,default_0,0.099078774,0.205
7ALA,default_1,0.0008591212,0.101
7ALA,default_2,0.028068928,0.015
7ALA,default_3,0.7740658,0.015
7ALA,default_4,0.111788414,0.025
7ALA,no_templates_0,0.046567287,0.174
7ALA,no_templates_1,0.0049240664,0.171
7ALA,no_templates_2,0.015259058,0.170
7ALA,no_templates_3,0.048899397,0.014
7ALA,no_templates_4,0.050561473,0.016
7ALA,ori_temp_pipeline_with_alphafold_models_0,0.00822793,0.014
7ALA,ori_temp_pipeline_with_alphafold_models_1,0.10586053,0.025
7ALA,ori_temp_pipeline_with_alphafold_models_2,0.04902707,0.021
7ALA,ori_temp_pipeline_with_alphafold_models_3,0.04192231,0.020
7ALA,ori_temp_pipeline_with_alphafold_models_4,0.025148839,0.014
7ALA,ori_template_pipeline_0,0.009937844,0.020
7ALA,ori_template_pipeline_1,0.11343963,0.018
7ALA,ori_template_pipeline_2,0.036101826,0.017
7ALA,ori_template_pipeline_3,0.031642538,0.016
7ALA,ori_template_pipeline_4,0.054992374,0.017
7ALA,pdb_interact_uniprot_sto_0,0.29296458,0.021
7ALA,pdb_interact_uniprot_sto_1,0.042189263,0.012
7ALA,pdb_interact_uniprot_sto_2,0.10482339,0.012
7ALA,pdb_interact_uniprot_sto_3,0.07027845,0.017
7ALA,pdb_interact_uniprot_sto_4,0.06458983,0.011
7ALA,pdb_interact_uniref_sto_0,0.0012629691,0.009
7ALA,pdb_interact_uniref_sto_1,0.17177354,0.018
7ALA,pdb_interact_uniref_sto_2,0.0141340755,0.013
7ALA,pdb_interact_uniref_sto_3,0.03275327,0.011
7ALA,pdb_interact_uniref_sto_4,0.052197594,0.017
7ALA,sequence_based_template_0,0.010478609,0.018
7ALA,sequence_based_template_1,0.034477994,0.015
7ALA,sequence_based_template_2,0.046665326,0.017
7ALA,sequence_based_template_3,0.010750964,0.012
7ALA,sequence_based_template_4,0.108042985,0.016
7ALA,sequence_based_template_with_alphafold_0,0.017317427,0.014
7ALA,sequence_based_template_with_alphafold_1,0.06950658,0.026
7ALA,sequence_based_template_with_alphafold_2,0.101428404,0.021
7ALA,sequence_based_template_with_alphafold_3,0.030889945,0.019
7ALA,sequence_based_template_with_alphafold_4,0.025896838,0.013
7ALA,species_interact_uniprot_sto_0,0.13682367,0.020
7ALA,species_interact_uniprot_sto_1,0.056026325,0.021
7ALA,species_interact_uniprot_sto_2,0.08010874,0.102
7ALA,species_interact_uniprot_sto_3,0.011336103,0.143
7ALA,species_interact_uniprot_sto_4,0.04579067,0.054
7ALA,species_interact_uniref_a3m_0,0.020137945,0.036
7ALA,species_interact_uniref_a3m_1,0.06825461,0.009
7ALA,species_interact_uniref_a3m_2,0.009575892,0.009
7ALA,species_interact_uniref_a3m_3,0.43663946,0.009
7ALA,species_interact_uniref_a3m_4,0.057569705,0.010
7ALA,species_interact_uniref_sto_0,0.011927295,0.244
7ALA,species_interact_uniref_sto_1,0.097263716,0.021
7ALA,species_interact_uniref_sto_2,0.023821082,0.012
7ALA,species_interact_uniref_sto_3,0.008190718,0.170
7ALA,species_interact_uniref_sto_4,0.11030892,0.017
7ALA,string_interact_uniprot_sto_0,0.019536244,0.010
7ALA,string_interact_uniprot_sto_1,0.022199418,0.009
7ALA,string_interact_uniprot_sto_2,0.21741986,0.013
7ALA,string_interact_uniprot_sto_3,0.07958119,0.025
7ALA,string_interact_uniprot_sto_4,0.10335492,0.022
7ALA,string_interact_uniref_a3m_0,0.0068648374,0.034
7ALA,string_interact_uniref_a3m_1,0.058944304,0.009
7ALA,string_interact_uniref_a3m_2,0.07289387,0.009
7ALA,string_interact_uniref_a3m_3,0.022860967,0.009
7ALA,string_interact_uniref_a3m_4,0.15838641,0.009
7ALA,string_interact_uniref_sto_0,0.018863019,0.011
7ALA,string_interact_uniref_sto_1,0.009827466,0.010
7ALA,string_interact_uniref_sto_2,0.027761387,0.019
7ALA,string_interact_uniref_sto_3,0.035916094,0.015
7ALA,string_interact_uniref_sto_4,0.0887899,0.022
7ALA,structure_temp_dimer_0,0.24467306,0.013
7ALA,structure_temp_dimer_1,0.18162207,0.016
7ALA,structure_temp_dimer_2,0.054509923,0.062
7ALA,structure_temp_dimer_3,0.034755215,0.041
7ALA,structure_temp_dimer_4,0.14416878,0.024
7ALA,structure_temp_dimer_a_0,0.0021912074,0.013
7ALA,structure_temp_dimer_a_1,0.12573661,0.026
7ALA,structure_temp_dimer_a_2,0.058951553,0.021
7ALA,structure_temp_dimer_a_3,0.05788574,0.017
7ALA,structure_temp_dimer_a_4,0.028292745,0.014
7ALA,uniclust_oxmatch_a3m_0,0.020029567,0.009
7ALA,uniclust_oxmatch_a3m_1,0.10052472,0.009
7ALA,uniclust_oxmatch_a3m_2,0.046704713,0.025
7ALA,uniclust_oxmatch_a3m_3,0.0023252643,0.008
7ALA,uniclust_oxmatch_a3m_4,0.025682898,0.009
7ALA,uniprot_distance_uniprot_sto_0,0.047331855,0.010
7ALA,uniprot_distance_uniprot_sto_1,0.045579657,0.008
7ALA,uniprot_distance_uniprot_sto_2,0.7037449,0.011
7ALA,uniprot_distance_uniprot_sto_3,0.08767635,0.020
7ALA,uniprot_distance_uniprot_sto_4,0.084518984,0.023
