MODEL,PRED_DOCKQ
fold_7vyr_5_model_3,0.75070184
fold_7vyr_3_model_1,0.746946
fold_7vyr_4_model_0,0.7369649
fold_7vyr_4_model_4,0.7334274
fold_7vyr_1_model_2,0.7301937
fold_7vyr_1_model_0,0.71486783
fold_7vyr_2_model_2,0.71424925
fold_7vyr_4_model_3,0.6975261
fold_7vyr_5_model_1,0.68759835
fold_7vyr_3_model_2,0.6615206
fold_7vyr_5_model_2,0.6435963
fold_7vyr_2_model_0,0.63733536
fold_7vyr_1_model_3,0.6193979
fold_7vyr_2_model_1,0.59192926
fold_7vyr_3_model_3,0.58567965
fold_7vyr_3_model_0,0.57853943
fold_7vyr_1_model_1,0.540322
fold_7vyr_3_model_4,0.5380517
fold_7vyr_4_model_1,0.5232023
fold_7vyr_2_model_3,0.43374154
fold_7vyr_1_model_4,0.41574135
fold_7vyr_4_model_2,0.37867093
fold_7vyr_2_model_4,0.35199013
fold_7vyr_5_model_0,0.28151733
fold_7vyr_5_model_4,0.23456481
