MODEL,PRED_DOCKQ
fold_7yqz_4_model_3,0.5546618
fold_7yqz_1_model_3,0.42300922
fold_7yqz_4_model_4,0.38902813
fold_7yqz_4_model_2,0.34442684
fold_7yqz_3_model_0,0.34000784
fold_7yqz_4_model_1,0.33630556
fold_7yqz_1_model_1,0.31784165
fold_7yqz_3_model_1,0.29147562
fold_7yqz_2_model_0,0.28140914
fold_7yqz_4_model_0,0.27597618
fold_7yqz_5_model_3,0.26345766
fold_7yqz_5_model_2,0.21620248
fold_7yqz_1_model_2,0.20386451
fold_7yqz_5_model_1,0.19900048
fold_7yqz_2_model_3,0.194843
fold_7yqz_3_model_4,0.18677075
fold_7yqz_2_model_2,0.1822481
fold_7yqz_3_model_3,0.18001476
fold_7yqz_1_model_0,0.1676006
fold_7yqz_2_model_1,0.11325826
fold_7yqz_2_model_4,0.11236565
fold_7yqz_3_model_2,0.11133637
fold_7yqz_5_model_0,0.10998004
fold_7yqz_1_model_4,0.106243685
fold_7yqz_5_model_4,0.03528695
